0,6,0,6,6,0
6,6,0,6,6,6
6,6,6,0,6,6
0,6,6,0,6,0
0,6,0,3,3,3
6,6,0,3,3,3
6,6,6,3,3,3
0,6,6,3,3,3
0, 6,0,6, 6,0
6, 6,0,6, 12,0
6, 12,0,0, 12,0
0, 12,0,0, 6,0
0, 6,6,6, 6,6
6, 6,6,6, 12,6
6, 12,6,0, 12,6
0, 12,6,0, 6,6
0, 6,0,0, 6,6
6, 6,0,6, 6,6
6, 12,0,6, 12,6
0, 12,0,0, 12,6
0,6, 7,6,6, 7
6,6, 7,6,6, 13
6,6, 13,0,6, 13
0,6, 13,0,6, 7
0,6, 7,3,3, 10
6,6, 7,3,3, 10
6,6, 13,3,3, 10
0,6, 13,3,3, 10
0,6, 7,6,6, 7
6,6, 7,6,12, 7
6,12, 7,0,12, 7
0,12, 7,0,6, 7
0,6, 13,6,6, 13
6,6, 13,6,12, 13
6,12, 13,0,12, 13
0,12, 13,0,6, 13
0,6, 7,0,6, 13
6,6, 7,6,6, 13
6,12, 7,6,12, 13
0,12, 7,0,12, 13
0,6, 14,6,6, 14
6,6, 14,6,6, 20
6,6, 20,0,6, 20
0,6, 20,0,6, 14
0,6, 14,3,3, 17
6,6, 14,3,3, 17
6,6, 20,3,3, 17
0,6, 20,3,3, 17
0,6, 14,6,6, 14
6,6, 14,6,12, 14
6,12, 14,0,12, 14
0,12, 14,0,6, 14
0,6, 20,6,6, 20
6,6, 20,6,12, 20
6,12, 20,0,12, 20
0,12, 20,0,6, 20
0,6, 14,0,6, 20
6,6, 14,6,6, 20
6,12, 14,6,12, 20
0,12, 14,0,12, 20
 7,6,0, 13,6,0
 13,6,0, 13,6,6
 13,6,6, 7,6,6
 7,6,6, 7,6,0
 7,6,0, 10,3,3
 13,6,0, 10,3,3
 13,6,6, 10,3,3
 7,6,6, 10,3,3
 7,6,0, 13,6,0
 13,6,0, 13,12,0
 13,12,0, 7,12,0
 7,12,0, 7,6,0
 7,6,6, 13,6,6
 13,6,6, 13,12,6
 13,12,6, 7,12,6
 7,12,6, 7,6,6
 7,6,0, 7,6,6
 13,6,0, 13,6,6
 13,12,0, 13,12,6
 7,12,0, 7,12,6
 7,6,7, 13,6,7
 13,6,7, 13,6,13
 13,6,13, 7,6,13
 7,6,13, 7,6,7
 7,6,7, 10,3,10
 13,6,7, 10,3,10
 13,6,13, 10,3,10
 7,6,13, 10,3,10
 7,6,7, 13,6,7
 13,6,7, 13,12,7
 13,12,7, 7,12,7
 7,12,7, 7,6,7
 7,6,13, 13,6,13
 13,6,13, 13,12,13
 13,12,13, 7,12,13
 7,12,13, 7,6,13
 7,6,7, 7,6,13
 13,6,7, 13,6,13
 13,12,7, 13,12,13
 7,12,7, 7,12,13
 7,6,14, 13,6,14
 13,6,14, 13,6,20
 13,6,20, 7,6,20
 7,6,20, 7,6,14
 7,6,14, 10,3,17
 13,6,14, 10,3,17
 13,6,20, 10,3,17
 7,6,20, 10,3,17
 7,6,14, 13,6,14
 13,6,14, 13,12,14
 13,12,14, 7,12,14
 7,12,14, 7,6,14
 7,6,20, 13,6,20
 13,6,20, 13,12,20
 13,12,20, 7,12,20
 7,12,20, 7,6,20
 7,6,14, 7,6,20
 13,6,14, 13,6,20
 13,12,14, 13,12,20
 7,12,14, 7,12,20
